OBJECTID,HydroID,Division,RivRegNum,RivRegName,SrcFCName,SrcFType,SrcType,SourceID,FeatRel,FSource,AttrRel,AttrSource,PlanAcc,Symbol,TextNote,AlbersArea,Shape_Length,Shape_Area
"105","9400320",Tanami-Timor Sea Coast,"19",SOUTH ALLIGATOR RIVER, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,11822512357.5315,8.52000000199916,0.985375000150008
"106","9400321",North East Coast,"21",DON RIVER, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,3093530800.90357,4.66499999300027,0.267256249913749
"107","9400322",South East Coast (Victoria),"1",EAST GIPPSLAND, , ,,,2012-11-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,5670106339.13642,5.13000000000056,0.577418750000015
"108","9400323",Carpentaria Coast,"17",HOLROYD RIVER, , ,,,2012-11-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,12665807060.8731,7.72500000599962,1.0604749999775
"109","9400324",Tanami-Timor Sea Coast,"20",EAST ALLIGATOR RIVER, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,15486527077.0862,16.9299999789993,1.28658749986499
"110","9400325",North East Coast,"22",PROSERPINE RIVER, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,2506054806.95158,4.84999999800129,0.216774999982492
"111","9400326",South East Coast (Victoria),"2",SNOWY RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,15767343775.7503,10.0899999960001,1.59458750009749
"112","9400327",Carpentaria Coast,"18",ARCHER-WATSON RIVERS, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,16074290069.6684,8.27500000299869,1.34206875066125
"113","9400328",Tanami-Timor Sea Coast,"21",GOOMADEER RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,5599049362.81009,7.0949999970004,0.464931249961251
"114","9400329",Carpentaria Coast,"19",WARD RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,1113604074.64725,2.04500000099972,0.0928250000662488
"115","9400330",Tanami-Timor Sea Coast,"22",LIVERPOOL RIVER, , ,,,2012-11-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,8880109570.2953,7.58000001100061,0.739162499958748
"116","9400331",North East Coast,"24",O'CONNELL RIVER, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,2391238409.30166,4.889999988,0.207506249786254
"117","9400332",South East Coast (Victoria),"3",MITCHELL-THOMSON RIVERS, , ,,,2012-11-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,21091799389.2693,12.0750000070002,2.15538749979376
"118","9400333",Carpentaria Coast,"20",EMBLEY RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,4717887777.40463,5.75999999800035,0.392575000032505
"119","9400334",Tanami-Timor Sea Coast,"23",BLYTH RIVER, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,9105672143.90752,6.47000000700029,0.757799999496246
"120","9400335",North East Coast,"25",PIONEER RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,1624763519.60374,3.9849999960004,0.141349999976248
"121","9400336",Carpentaria Coast,"21",WENLOCK RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,7523088035.00384,7.87500000499972,0.626025000154989
"122","9400337",Tanami-Timor Sea Coast,"24",GOYDER RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,10429551103.9832,6.81000001600012,0.869131249957498
"123","9400338",North East Coast,"26",PLANE CREEK, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,2514487589.57718,6.76000000599919,0.219237499761248
"124","9400339",Carpentaria Coast,"22",DUCIE RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,6773515392.71593,6.2499999919994,0.561868750067503
"125","9400340",Tanami-Timor Sea Coast,"25",BUCKINGHAM RIVER, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,8726961154.649,14.3899999530013,0.7254562500425
"126","9400341",North East Coast,"27",STYX RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,3143533097.39666,4.0049999900001,0.275931249749991
"127","9400342",South East Coast (Victoria),"4",SOUTH GIPPSLAND, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,6202734538.3702,11.2900000080002,0.64105000054749
"128","9400343",Carpentaria Coast,"23",JARDINE RIVER, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,3219289286.75734,4.76000000200008,0.266537499885005
"129","9400344",North East Coast,"28",SHOALWATER CREEK, , ,,,2012-11-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,3693694033.25548,5.48000000300021,0.324393749766246
"130","9400345",South East Coast (Victoria),"5",BUNYIP RIVER, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,4093249298.60174,7.29500000999951,0.420656250019993
"131","9400346",Carpentaria Coast,"3",GROOTE EYLANDT, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,2334887389.65647,6.09499998299913,0.195362500038755
"132","9400347",North East Coast,"29",WATER PARK CREEK, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,1750725394.22131,7.54500000299913,0.153987499833746
"133","9400348",South East Coast (Victoria),"6",YARRA RIVER, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,5517123673.95452,7.3699999940003,0.56311250056751
"134","9400349",North East Coast,"3",LOCKHART RIVER, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,2894025669.20209,5.1299999959989,0.241337499836243
"135","9400350",South East Coast (NSW),"3",RICHMOND RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,7026402337.75835,5.49499999600118,0.649556250052492
"136","9400351",Carpentaria Coast,"4",ROPER RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,78129586602.7,19.6849999839976,6.56543749982002
"137","9400352",South Australian Gulf,"3",ONKAPARINGA RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,930154937.754282,2.43999999699963,0.0919625000262469
"138","9400353",Tanami-Timor Sea Coast,"3",LENNARD RIVER, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,14754942111.1207,10.0649999929979,1.25398124993625
"139","9400354",Tasmania,"3",COAL RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,981006682.104619,2.61000000700039,0.107712500136244
"140","9400355",South West Coast,"3",DENMARK RIVER, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,2703168398.06496,3.49999999799968,0.266312500127506
"141","9400356",Pilbara-Gascoyne,"3",WOORAMEL RIVER, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,43567011214.6466,30.0200000299977,3.93342499952873
"142","9400357",Lake Eyre Basin,"1",COOPER CREEK-BULLOO RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,503564842282.915,69.6200000259972,45.88736874984
"143","9400358",North East Coast,"30",FITZROY RIVER (QLD), , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,142606471550.268,31.4600000300017,12.6554312500425
"144","9400359",South East Coast (Victoria),"7",WERRIBEE RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,2023865146.17743,3.33500000000026,0.206674999787489
"145","9400360",North East Coast,"32",CURTIS ISLAND, , ,,,2012-11-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,576087721.274868,1.98499999999979,0.0509687499999991
