Address,Proportion within,SA2
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936948,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936949,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936950,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936951,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717937074,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717937075,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717937076,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717937077,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717937078,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717937079,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717937080,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717937081,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717937082,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717937083,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717937084,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717937085,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717937086,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717937191,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717937192,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717937193,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717937194,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717937195,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717937196,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717937197,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717937198,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717937199,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717937203,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717937204,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
